"Alabama","Alabama Law Enforcement Agency","334-242-1104","Email: Alabama ICAC","https://www.alea.gov/";
"Alaska","Anchorage Police Department","907-786-8821","Email: Alaska ICAC","http://www.muni.org/departments/police/Pages/default.aspx";
"Arizona","Phoenix Police Department","623-466-1828","Email: Arizona ICAC","http://www.azicac.org/";
"Arkansas","Arkansas State Police","479-783-5195","Email: Arkansas ICAC","http://arkansasweb.com/aricac/";
"California","Fresno County Sheriff's Office","559-600-8144","Email: California - Fresno Area ICAC","http://www.centralcaliforniaicac.org/";
"California","Los Angeles Police Department","951-285-1242","Email: California - Los Angeles Area ICAC","http://www.lapdonline.org/";
"California","Sacramento County Sheriff's Office","916-874-3002","Email: California - Sacramento Area ICAC","https://sacvalleyhitech.com/icac";
"California","San Diego Police Department","858-715-7100","Email: California - San Diego Area ICAC","http://www.sdicac.org/";
"California","San Jose Police Department","408-537-1381","Email: California - San Jose Area ICAC","http://www.svicac.org/";
"Colorado","Colorado Springs Police Department;","719-444-7630","Email: Colorado ICAC","https://www.facebook.com/ColoradoICAC";
"Connecticut","Connecticut State Police","203-694-6572","Email: Connecticut ICAC","https://portal.ct.gov/DESPP/Division-of-Scientific-Services/_content/Computer-Crimes-and-Electronic-Evidence-Laboratory";
"Delaware","Delaware Department of Justice","302-739-2030","Email: Delaware ICAC","https://attorneygeneral.delaware.gov/";
"Florida","Osceola County Sheriff's Office","407-348-1100","Email: Florida - Central  ICAC","https://www.osceolasheriff.org/";
"Florida","Gainesville Police Department","352-393-7660","Email: Florida - Northern ICAC","http://www.gainesvillepd.org/About-GPD/Investigations-Bureau/Internet-Crimes-Against-Children";
"Florida","Broward County Sheriff's Office","954-888-5354","Email: Florida - Southern ICAC","";
"Georgia","Georgia Bureau of Investigation","404-270-8870","Email: Georgia ICAC","https://www.gaicactaskforce.com/";
"Hawaii","Hawaii Department of Attorney General","808-587-4111","Email: Hawaii ICAC","http://ag.hawaii.gov/hicac/";
"Idaho","Idaho Office of Attorney General","208-334-4527","Email: Idaho ICAC","https://www.ag.idaho.gov/contact/";
"Illinois","Illinois Office of Attorney General","312-814-3505","Email: Illinois ICAC","http://www.illinoisicac.org/";
"Illinois","Cook County State's Attorney's Office","312-492-3700","Email: Illinois - Cook County Area ICAC","https://www.cookcountystatesattorney.org/";
"Indiana","Indiana State Police","317-232-8309","Email: Indiana ICAC","https://www.in.gov/ISP/";
"Iowa","Iowa Division of Criminal Investigation","515-965-7402","Email: Iowa ICAC","http://www.iaicac.org/Pages/welcome.aspx";
"Kansas","Sedgwick County Sheriff's Office","316-660-9447",Email: Kansas ICAC","https://www.sedgwickcounty.org/sheriff/";
"Kentucky","Kentucky State Police","502-782-9769","Email: Kentucky ICAC","https://kentuckystatepolice.org/kentucky-internet-crimes-children-task-force/";
"Louisiana","Louisiana Department of Justice","225-326-6100","Email: Louisiana ICAC","http://www.ag.state.la.us/Article.aspx?articleID=32&catID=0";
"Maine","Maine State Police","207-877-8080","Email: Maine ICAC","https://www.maine.gov/dps/msp/investigation-traffic/computer-crimes-unit";
"Maryland","Maryland State Police","410-953-8260","Email: Maryland ICAC","https://www.facebook.com/ICAC.MD";
"Massachusetts","Massachusetts State Police","617-590-9303","Email: Massachusetts ICAC","https://www.mass.gov/orgs/massachusetts-state-police";
"Michigan","Michigan State Police","877-642-9237","Email: Michigan ICAC","https://www.michiganicac.com/";
"Minnesota","Minnesota Bureau of Criminal Apprehension","651-793-1072","Email: Minnesota ICAC","https://dps.mn.gov/divisions/bca/bca-divisions/investigations/Pages/internet-crime-against-children.aspx";
"Mississippi","Mississippi Office of Attorney General","601-576-4268","Email: Mississippi ICAC","http://www.ago.state.ms.us/internet-crimes-against-children/";
